Distance(cm),Unattenuated,Water(5cm),Concrete(5cm),Water(10cm)
0,1,NA,NA,NA
0.1,0.734411441,NA,NA,NA
0.2,0.51743302,NA,NA,NA
0.3,0.362953938,NA,NA,NA
0.4,0.259473818,NA,NA,NA
0.5,0.190774287,NA,NA,NA
0.6,0.144400196,NA,NA,NA
0.7,0.112264664,NA,NA,NA
0.8,0.089360841,NA,NA,NA
0.9,0.072593119,NA,NA,NA
1,0.060014611,NA,NA,NA
1.1,0.050371351,NA,NA,NA
1.2,0.042834831,NA,NA,NA
1.3,0.036843858,NA,NA,NA
1.4,0.032009323,NA,NA,NA
1.5,0.02805556,NA,NA,NA
1.6,0.024783391,NA,NA,NA
1.7,0.022046308,NA,NA,NA
1.8,0.01973477,NA,NA,NA
1.9,0.017765657,NA,NA,NA
2,0.016075037,NA,NA,NA
2.1,0.014613124,NA,NA,NA
2.2,0.013340709,NA,NA,NA
2.3,0.01222659,NA,NA,NA
2.4,0.011245698,NA,NA,NA
2.5,0.01037771,NA,NA,NA
2.6,0.00960602,NA,NA,NA
2.7,0.008916952,NA,NA,NA
2.8,0.008299166,NA,NA,NA
2.9,0.007743193,NA,NA,NA
3,0.007241084,NA,NA,NA
3.1,0.00678612,NA,NA,NA
3.2,0.006372596,NA,NA,NA
3.3,0.005995644,NA,NA,NA
3.4,0.005651086,NA,NA,NA
3.5,0.005335322,NA,NA,NA
3.6,0.00504524,NA,NA,NA
3.7,0.004778135,NA,NA,NA
3.8,0.004531648,NA,NA,NA
3.9,0.004303714,NA,NA,NA
4,0.00409252,NA,NA,NA
4.1,0.003896471,NA,NA,NA
4.2,0.003714154,NA,NA,NA
4.3,0.003544318,NA,NA,NA
4.4,0.003385851,NA,NA,NA
4.5,0.003237763,NA,NA,NA
4.6,0.003099167,NA,NA,NA
4.7,0.002969271,NA,NA,NA
4.8,0.002847363,NA,NA,NA
4.9,0.002732801,NA,NA,NA
5,0.002625008,NA,NA,NA
5.1,0.002523461,NA,NA,NA
5.2,0.002427688,NA,NA,NA
5.3,0.002337259,NA,NA,NA
5.4,0.002251785,NA,NA,NA
5.5,0.00217091,NA,NA,NA
5.6,0.002094311,NA,NA,NA
