Distance(cm),Unattenuated,Water(5cm),Concrete(5cm),Water(10cm)
2,0.01642502,0.01642502,0.01642502,0.01642502
3,0.00727113,0.00727113,0.00727113,0.00727113
4,0.00407341,0.00407341,0.00407341,0.00407341
5,0.00260917,0.00260917,0.00260917,0.00260917
6,0.001808671,0.001808671,0.001808671,0.001808671
7,0.001329994,0.001329994,0.001329994,0.001329994
8,0.001014915,0.001014915,0.001014915,0.001014915
9,0.00080241,0.00080241,0.00080241,0.00080241
10,0.000652005,0.000652005,0.000652005,0.000652005
11,0.000541667,0.000541667,0.000541667,0.000541667
12,0.000456186,0.000456186,0.000456186,0.000456186
13,0.000388912,0.000388912,0.000388912,0.000388912
14,0.000336917,0.000336917,0.000336917,0.000336917
15,0.00029568,0.00029568,0.00029568,0.00029568
16,0.000260612,0.000260612,0.000260612,0.000260612
17,0.000230036,0.000230036,0.000230036,0.000230036
18,0.000204656,0.000204656,0.000204656,0.000204656
19,0.000182933,0.000182933,0.000182933,0.000182933
20,0.000164717,0.000164717,0.000164717,0.000164717
21,0.00015011,0.00015011,0.00015011,0.00015011
22,0.000136458,0.000136458,0.000136458,0.000136458
23,0.000125665,0.000125665,0.000125665,0.000125665
24,0.000114854,0.000114854,0.000114854,0.000114854
25,0.000105636,0.000105636,0.000105636,0.000105636
26,9.68E-05,9.68E-05,9.68E-05,9.68E-05
27,8.98E-05,8.98E-05,8.98E-05,8.98E-05
28,8.44E-05,8.44E-05,8.44E-05,8.44E-05
29,7.91E-05,7.91E-05,7.91E-05,7.91E-05
30,7.40E-05,NA,NA,NA
31,6.94E-05,NA,NA,NA
32,6.56E-05,NA,NA,NA
33,6.16E-05,NA,NA,NA
34,5.77E-05,NA,NA,NA
35.5,5.30E-05,3.40E-05,2.20E-05,NA
36.5,4.99E-05,3.19E-05,2.08E-05,NA
37.5,4.73E-05,3.02E-05,1.98E-05,NA
38.5,4.48E-05,2.87E-05,1.86E-05,NA
39.5,4.24E-05,2.73E-05,1.77E-05,NA
40.5,4.02E-05,2.58E-05,1.69E-05,0.00001767
41.5,0.000038533,0.000024908,1.62E-05,1.62E-05
42.5,0.000036591,2.35E-05,1.52E-05,1.51E-05
43.5,3.46E-05,2.24E-05,1.46E-05,1.44E-05
44.5,3.31E-05,2.16E-05,1.42E-05,1.40E-05
45.5,3.14E-05,2.05E-05,1.34E-05,1.31E-05
46.5,2.99E-05,1.96E-05,1.29E-05,1.26E-05
47.5,2.85E-05,1.88E-05,1.23E-05,1.21E-05
48.5,2.76E-05,1.83E-05,1.19E-05,1.18E-05
49.5,2.67E-05,1.76E-05,1.15E-05,1.14E-05
50.5,2.55E-05,1.68E-05,1.10E-05,1.09E-05
