%time,field.header.seq,field.header.stamp,field.header.frame_id,field.value,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w,field.type
19999000000,19,19999000000,sim_sensor,2.0,0.00126291163397,8.20122278043e-06,0.0634977213046,-2.08287550463e-07,1.09719875263e-06,-2.50529262963e-05,0.999999999686,
21000000000,20,21000000000,sim_sensor,1.0,0.00132360205383,8.22907024842e-06,0.0634977212855,-2.0829879691e-07,1.09810278959e-06,-2.5052914646e-05,0.999999999686,
22000000000,21,22000000000,sim_sensor,4.0,0.00138450301114,8.25690844394e-06,0.0634977212659,-2.08309481952e-07,1.09901005274e-06,-2.50529400026e-05,0.999999999686,
23001000000,22,23001000000,sim_sensor,2.0,0.00144573766625,8.28479298142e-06,0.063497721246,-2.08319649076e-07,1.09992237724e-06,-2.50530026528e-05,0.999999999686,
23999000000,23,23999000000,sim_sensor,3.0,0.00150700086633,8.31258469697e-06,0.0634977212259,-2.08329271282e-07,1.10083521683e-06,-2.50531023558e-05,0.999999999686,
25000000000,24,25000000000,sim_sensor,3.0,0.00156853800237,8.34039486296e-06,0.0634977212053,-2.08338410532e-07,1.10175222798e-06,-2.50532395231e-05,0.999999999686,
26000000000,25,26000000000,sim_sensor,4.0,0.00163028858783,8.36819562157e-06,0.0634977211844,-2.08347078138e-07,1.10267250963e-06,-2.50534142021e-05,0.999999999686,
27000000000,26,27000000000,sim_sensor,2.0,0.127301950865,2.51801066386e-06,0.0634961879201,-4.03784601909e-07,2.15343278709e-06,-2.61591342027e-05,0.999999999655,
28000000000,27,28000000000,sim_sensor,3.0,0.6272962344,-2.20499539328e-05,0.0634976920947,-2.13492215665e-07,1.48601291734e-06,-2.51314551812e-05,0.999999999683,
29002000000,28,29002000000,sim_sensor,5.0,1.12787169612,-4.59276147438e-05,0.0634973379827,-2.75313618428e-07,-1.89075098654e-07,-2.31699612027e-05,0.999999999732,
